nombre,year,et_mm
Tolimán,2015,
Jaibalito,2015,
La Catarata,2015,
Palopó,2015,
San Buenaventura,2015,
San Juan La Laguna,2015,
San Marcos La Laguna,2015,
San Pablo La Laguna,2015,
San Pedro La Laguna,2015,
Nimayá - Xepec,2015,
Santa Cruz La Laguna,2015,
Santiago Atitlán,2015,
Cerro De Oro,2015,
San Antonio Chacayá,2015,
Chukumuk,2015,
Panabaj,2015,
Cerro Chuitinamit,2015,
Tzununá,2015,
Barreneché - María Tecún,2015,
Argueta,2015,
Chaquijyá,2015,
Xibalbay,2015,
Parracaná,2015,
El Novillero,2015,
Chuiescalera,2015,
Pamachá,2015,
Río Quiscab,2015,
Pujujil,2015,
Pujujilito,2015,
Xajaxak,2015,
Patzutzún,2015,
Concepción,2015,
Panasacar,2015,
Patanatic - Pamuch,2015,
San Francisco,2015,
Tzalá,2015,
Panajachel,2015,
Tolimán,2016,
Jaibalito,2016,
La Catarata,2016,
Palopó,2016,
San Buenaventura,2016,
San Juan La Laguna,2016,
San Marcos La Laguna,2016,
San Pablo La Laguna,2016,
San Pedro La Laguna,2016,
Nimayá - Xepec,2016,
Santa Cruz La Laguna,2016,
Santiago Atitlán,2016,
Cerro De Oro,2016,
San Antonio Chacayá,2016,
Chukumuk,2016,
Panabaj,2016,
Cerro Chuitinamit,2016,
Tzununá,2016,
Barreneché - María Tecún,2016,
Argueta,2016,
Chaquijyá,2016,
Xibalbay,2016,
Parracaná,2016,
El Novillero,2016,
Chuiescalera,2016,
Pamachá,2016,
Río Quiscab,2016,
Pujujil,2016,
Pujujilito,2016,
Xajaxak,2016,
Patzutzún,2016,
Concepción,2016,
Panasacar,2016,
Patanatic - Pamuch,2016,
San Francisco,2016,
Tzalá,2016,
Panajachel,2016,
Tolimán,2017,
Jaibalito,2017,
La Catarata,2017,
Palopó,2017,
San Buenaventura,2017,
San Juan La Laguna,2017,
San Marcos La Laguna,2017,
San Pablo La Laguna,2017,
San Pedro La Laguna,2017,
Nimayá - Xepec,2017,
Santa Cruz La Laguna,2017,
Santiago Atitlán,2017,
Cerro De Oro,2017,
San Antonio Chacayá,2017,
Chukumuk,2017,
Panabaj,2017,
Cerro Chuitinamit,2017,
Tzununá,2017,
Barreneché - María Tecún,2017,
Argueta,2017,
Chaquijyá,2017,
Xibalbay,2017,
Parracaná,2017,
El Novillero,2017,
Chuiescalera,2017,
Pamachá,2017,
Río Quiscab,2017,
Pujujil,2017,
Pujujilito,2017,
Xajaxak,2017,
Patzutzún,2017,
Concepción,2017,
Panasacar,2017,
Patanatic - Pamuch,2017,
San Francisco,2017,
Tzalá,2017,
Panajachel,2017,
Tolimán,2018,
Jaibalito,2018,
La Catarata,2018,
Palopó,2018,
San Buenaventura,2018,
San Juan La Laguna,2018,
San Marcos La Laguna,2018,
San Pablo La Laguna,2018,
San Pedro La Laguna,2018,
Nimayá - Xepec,2018,
Santa Cruz La Laguna,2018,
Santiago Atitlán,2018,
Cerro De Oro,2018,
San Antonio Chacayá,2018,
Chukumuk,2018,
Panabaj,2018,
Cerro Chuitinamit,2018,
Tzununá,2018,
Barreneché - María Tecún,2018,
Argueta,2018,
Chaquijyá,2018,
Xibalbay,2018,
Parracaná,2018,
El Novillero,2018,
Chuiescalera,2018,
Pamachá,2018,
Río Quiscab,2018,
Pujujil,2018,
Pujujilito,2018,
Xajaxak,2018,
Patzutzún,2018,
Concepción,2018,
Panasacar,2018,
Patanatic - Pamuch,2018,
San Francisco,2018,
Tzalá,2018,
Panajachel,2018,
Tolimán,2019,
Jaibalito,2019,
La Catarata,2019,
Palopó,2019,
San Buenaventura,2019,
San Juan La Laguna,2019,
San Marcos La Laguna,2019,
San Pablo La Laguna,2019,
San Pedro La Laguna,2019,
Nimayá - Xepec,2019,
Santa Cruz La Laguna,2019,
Santiago Atitlán,2019,
Cerro De Oro,2019,
San Antonio Chacayá,2019,
Chukumuk,2019,
Panabaj,2019,
Cerro Chuitinamit,2019,
Tzununá,2019,
Barreneché - María Tecún,2019,
Argueta,2019,
Chaquijyá,2019,
Xibalbay,2019,
Parracaná,2019,
El Novillero,2019,
Chuiescalera,2019,
Pamachá,2019,
Río Quiscab,2019,
Pujujil,2019,
Pujujilito,2019,
Xajaxak,2019,
Patzutzún,2019,
Concepción,2019,
Panasacar,2019,
Patanatic - Pamuch,2019,
San Francisco,2019,
Tzalá,2019,
Panajachel,2019,
Tolimán,2020,
Jaibalito,2020,
La Catarata,2020,
Palopó,2020,
San Buenaventura,2020,
San Juan La Laguna,2020,
San Marcos La Laguna,2020,
San Pablo La Laguna,2020,
San Pedro La Laguna,2020,
Nimayá - Xepec,2020,
Santa Cruz La Laguna,2020,
Santiago Atitlán,2020,
Cerro De Oro,2020,
San Antonio Chacayá,2020,
Chukumuk,2020,
Panabaj,2020,
Cerro Chuitinamit,2020,
Tzununá,2020,
Barreneché - María Tecún,2020,
Argueta,2020,
Chaquijyá,2020,
Xibalbay,2020,
Parracaná,2020,
El Novillero,2020,
Chuiescalera,2020,
Pamachá,2020,
Río Quiscab,2020,
Pujujil,2020,
Pujujilito,2020,
Xajaxak,2020,
Patzutzún,2020,
Concepción,2020,
Panasacar,2020,
Patanatic - Pamuch,2020,
San Francisco,2020,
Tzalá,2020,
Panajachel,2020,
Tolimán,2021,
Jaibalito,2021,
La Catarata,2021,
Palopó,2021,
San Buenaventura,2021,
San Juan La Laguna,2021,
San Marcos La Laguna,2021,
San Pablo La Laguna,2021,
San Pedro La Laguna,2021,
Nimayá - Xepec,2021,
Santa Cruz La Laguna,2021,
Santiago Atitlán,2021,
Cerro De Oro,2021,
San Antonio Chacayá,2021,
Chukumuk,2021,
Panabaj,2021,
Cerro Chuitinamit,2021,
Tzununá,2021,
Barreneché - María Tecún,2021,
Argueta,2021,
Chaquijyá,2021,
Xibalbay,2021,
Parracaná,2021,
El Novillero,2021,
Chuiescalera,2021,
Pamachá,2021,
Río Quiscab,2021,
Pujujil,2021,
Pujujilito,2021,
Xajaxak,2021,
Patzutzún,2021,
Concepción,2021,
Panasacar,2021,
Patanatic - Pamuch,2021,
San Francisco,2021,
Tzalá,2021,
Panajachel,2021,
Tolimán,2022,
Jaibalito,2022,
La Catarata,2022,
Palopó,2022,
San Buenaventura,2022,
San Juan La Laguna,2022,
San Marcos La Laguna,2022,
San Pablo La Laguna,2022,
San Pedro La Laguna,2022,
Nimayá - Xepec,2022,
Santa Cruz La Laguna,2022,
Santiago Atitlán,2022,
Cerro De Oro,2022,
San Antonio Chacayá,2022,
Chukumuk,2022,
Panabaj,2022,
Cerro Chuitinamit,2022,
Tzununá,2022,
Barreneché - María Tecún,2022,
Argueta,2022,
Chaquijyá,2022,
Xibalbay,2022,
Parracaná,2022,
El Novillero,2022,
Chuiescalera,2022,
Pamachá,2022,
Río Quiscab,2022,
Pujujil,2022,
Pujujilito,2022,
Xajaxak,2022,
Patzutzún,2022,
Concepción,2022,
Panasacar,2022,
Patanatic - Pamuch,2022,
San Francisco,2022,
Tzalá,2022,
Panajachel,2022,
Tolimán,2023,
Jaibalito,2023,
La Catarata,2023,
Palopó,2023,
San Buenaventura,2023,
San Juan La Laguna,2023,
San Marcos La Laguna,2023,
San Pablo La Laguna,2023,
San Pedro La Laguna,2023,
Nimayá - Xepec,2023,
Santa Cruz La Laguna,2023,
Santiago Atitlán,2023,
Cerro De Oro,2023,
San Antonio Chacayá,2023,
Chukumuk,2023,
Panabaj,2023,
Cerro Chuitinamit,2023,
Tzununá,2023,
Barreneché - María Tecún,2023,
Argueta,2023,
Chaquijyá,2023,
Xibalbay,2023,
Parracaná,2023,
El Novillero,2023,
Chuiescalera,2023,
Pamachá,2023,
Río Quiscab,2023,
Pujujil,2023,
Pujujilito,2023,
Xajaxak,2023,
Patzutzún,2023,
Concepción,2023,
Panasacar,2023,
Patanatic - Pamuch,2023,
San Francisco,2023,
Tzalá,2023,
Panajachel,2023,
