nombre,year,lai
Tolimán,2020,
Jaibalito,2020,
La Catarata,2020,
Palopó,2020,
San Buenaventura,2020,
San Juan La Laguna,2020,
San Marcos La Laguna,2020,
San Pablo La Laguna,2020,
San Pedro La Laguna,2020,
Nimayá - Xepec,2020,
Santa Cruz La Laguna,2020,
Santiago Atitlán,2020,
Cerro De Oro,2020,
San Antonio Chacayá,2020,
Chukumuk,2020,
Panabaj,2020,
Cerro Chuitinamit,2020,
Tzununá,2020,
Barreneché - María Tecún,2020,
Argueta,2020,
Chaquijyá,2020,
Xibalbay,2020,
Parracaná,2020,
El Novillero,2020,
Chuiescalera,2020,
Pamachá,2020,
Río Quiscab,2020,
Pujujil,2020,
Pujujilito,2020,
Xajaxak,2020,
Patzutzún,2020,
Concepción,2020,
Panasacar,2020,
Patanatic - Pamuch,2020,
San Francisco,2020,
Tzalá,2020,
Panajachel,2020,
Tolimán,2021,
Jaibalito,2021,
La Catarata,2021,
Palopó,2021,
San Buenaventura,2021,
San Juan La Laguna,2021,
San Marcos La Laguna,2021,
San Pablo La Laguna,2021,
San Pedro La Laguna,2021,
Nimayá - Xepec,2021,
Santa Cruz La Laguna,2021,
Santiago Atitlán,2021,
Cerro De Oro,2021,
San Antonio Chacayá,2021,
Chukumuk,2021,
Panabaj,2021,
Cerro Chuitinamit,2021,
Tzununá,2021,
Barreneché - María Tecún,2021,
Argueta,2021,
Chaquijyá,2021,
Xibalbay,2021,
Parracaná,2021,
El Novillero,2021,
Chuiescalera,2021,
Pamachá,2021,
Río Quiscab,2021,
Pujujil,2021,
Pujujilito,2021,
Xajaxak,2021,
Patzutzún,2021,
Concepción,2021,
Panasacar,2021,
Patanatic - Pamuch,2021,
San Francisco,2021,
Tzalá,2021,
Panajachel,2021,
Tolimán,2022,
Jaibalito,2022,
La Catarata,2022,
Palopó,2022,
San Buenaventura,2022,
San Juan La Laguna,2022,
San Marcos La Laguna,2022,
San Pablo La Laguna,2022,
San Pedro La Laguna,2022,
Nimayá - Xepec,2022,
Santa Cruz La Laguna,2022,
Santiago Atitlán,2022,
Cerro De Oro,2022,
San Antonio Chacayá,2022,
Chukumuk,2022,
Panabaj,2022,
Cerro Chuitinamit,2022,
Tzununá,2022,
Barreneché - María Tecún,2022,
Argueta,2022,
Chaquijyá,2022,
Xibalbay,2022,
Parracaná,2022,
El Novillero,2022,
Chuiescalera,2022,
Pamachá,2022,
Río Quiscab,2022,
Pujujil,2022,
Pujujilito,2022,
Xajaxak,2022,
Patzutzún,2022,
Concepción,2022,
Panasacar,2022,
Patanatic - Pamuch,2022,
San Francisco,2022,
Tzalá,2022,
Panajachel,2022,
Tolimán,2023,
Jaibalito,2023,
La Catarata,2023,
Palopó,2023,
San Buenaventura,2023,
San Juan La Laguna,2023,
San Marcos La Laguna,2023,
San Pablo La Laguna,2023,
San Pedro La Laguna,2023,
Nimayá - Xepec,2023,
Santa Cruz La Laguna,2023,
Santiago Atitlán,2023,
Cerro De Oro,2023,
San Antonio Chacayá,2023,
Chukumuk,2023,
Panabaj,2023,
Cerro Chuitinamit,2023,
Tzununá,2023,
Barreneché - María Tecún,2023,
Argueta,2023,
Chaquijyá,2023,
Xibalbay,2023,
Parracaná,2023,
El Novillero,2023,
Chuiescalera,2023,
Pamachá,2023,
Río Quiscab,2023,
Pujujil,2023,
Pujujilito,2023,
Xajaxak,2023,
Patzutzún,2023,
Concepción,2023,
Panasacar,2023,
Patanatic - Pamuch,2023,
San Francisco,2023,
Tzalá,2023,
Panajachel,2023,
Tolimán,2024,
Jaibalito,2024,
La Catarata,2024,
Palopó,2024,
San Buenaventura,2024,
San Juan La Laguna,2024,
San Marcos La Laguna,2024,
San Pablo La Laguna,2024,
San Pedro La Laguna,2024,
Nimayá - Xepec,2024,
Santa Cruz La Laguna,2024,
Santiago Atitlán,2024,
Cerro De Oro,2024,
San Antonio Chacayá,2024,
Chukumuk,2024,
Panabaj,2024,
Cerro Chuitinamit,2024,
Tzununá,2024,
Barreneché - María Tecún,2024,
Argueta,2024,
Chaquijyá,2024,
Xibalbay,2024,
Parracaná,2024,
El Novillero,2024,
Chuiescalera,2024,
Pamachá,2024,
Río Quiscab,2024,
Pujujil,2024,
Pujujilito,2024,
Xajaxak,2024,
Patzutzún,2024,
Concepción,2024,
Panasacar,2024,
Patanatic - Pamuch,2024,
San Francisco,2024,
Tzalá,2024,
Panajachel,2024,
