nombre,area_ha,ndvi_doy00_mean,ndvi_doy01_mean,ndvi_doy02_mean,ndvi_doy03_mean,ndvi_doy04_mean,ndvi_doy05_mean,ndvi_doy06_mean,ndvi_doy07_mean,ndvi_doy08_mean,ndvi_doy09_mean,ndvi_doy10_mean,ndvi_doy11_mean,ndvi_doy12_mean,ndvi_doy13_mean,ndvi_doy14_mean,ndvi_doy15_mean,ndvi_doy16_mean,ndvi_doy17_mean,ndvi_doy18_mean,ndvi_doy19_mean,ndvi_doy20_mean,ndvi_doy21_mean,ndvi_doy22_mean,ndvi_doy23_mean
Tolimán,1522.7720565993593,,,,,,,,,,,,,,,,,,,,,,,,
Jaibalito,492.8615445854088,,,,,,,,,,,,,,,,,,,,,,,,
La Catarata,662.2890691309613,,,,,,,,,,,,,,,,,,,,,,,,
Palopó,1455.0206213433994,,,,,,,,,,,,,,,,,,,,,,,,
San Buenaventura,819.6648738849096,,,,,,,,,,,,,,,,,,,,,,,,
San Juan La Laguna,1870.3079979833356,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos La Laguna,742.671810272815,,,,,,,,,,,,,,,,,,,,,,,,
San Pablo La Laguna,1051.8196728410023,,,,,,,,,,,,,,,,,,,,,,,,
San Pedro La Laguna,1136.0023631417678,,,,,,,,,,,,,,,,,,,,,,,,
Nimayá - Xepec,703.1493803833288,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz La Laguna,537.8934211169395,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Atitlán,785.8220329214801,,,,,,,,,,,,,,,,,,,,,,,,
Cerro De Oro,1417.495413303771,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Chacayá,1802.6956325112249,,,,,,,,,,,,,,,,,,,,,,,,
Chukumuk,785.3253264838098,,,,,,,,,,,,,,,,,,,,,,,,
Panabaj,2364.3627396574784,,,,,,,,,,,,,,,,,,,,,,,,
Cerro Chuitinamit,736.8743983780508,,,,,,,,,,,,,,,,,,,,,,,,
Tzununá,774.9164410685833,,,,,,,,,,,,,,,,,,,,,,,,
Barreneché - María Tecún,1308.7633101831625,,,,,,,,,,,,,,,,,,,,,,,,
Argueta,2796.149199267269,,,,,,,,,,,,,,,,,,,,,,,,
Chaquijyá,495.3864846484271,,,,,,,,,,,,,,,,,,,,,,,,
Xibalbay,1868.245029054044,,,,,,,,,,,,,,,,,,,,,,,,
Parracaná,1594.7782975124803,,,,,,,,,,,,,,,,,,,,,,,,
El Novillero,2684.8566428666404,,,,,,,,,,,,,,,,,,,,,,,,
Chuiescalera,1624.5276491314128,,,,,,,,,,,,,,,,,,,,,,,,
Pamachá,983.5714952415956,,,,,,,,,,,,,,,,,,,,,,,,
Río Quiscab,1846.102596888338,,,,,,,,,,,,,,,,,,,,,,,,
Pujujil,1095.0211775878238,,,,,,,,,,,,,,,,,,,,,,,,
Pujujilito,1300.010001162695,,,,,,,,,,,,,,,,,,,,,,,,
Xajaxak,861.6881907136137,,,,,,,,,,,,,,,,,,,,,,,,
Patzutzún,396.60714586809127,,,,,,,,,,,,,,,,,,,,,,,,
Concepción,626.5697881197384,,,,,,,,,,,,,,,,,,,,,,,,
Panasacar,760.6824240164776,,,,,,,,,,,,,,,,,,,,,,,,
Patanatic - Pamuch,430.2246354151232,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,577.0695414880676,,,,,,,,,,,,,,,,,,,,,,,,
Tzalá,632.7138634701049,,,,,,,,,,,,,,,,,,,,,,,,
Panajachel,441.8655053333477,,,,,,,,,,,,,,,,,,,,,,,,
