nombre,year,lai
San Andrés Semetabaj,2020,
Sololá,2020,
Concepción,2020,
Panajachel,2020,
Santa Catarina Palopó,2020,
San Antonio Palopó,2020,
Nahualá,2020,
Santa Lucía Utatlán,2020,
San José Chacayá,2020,
Santa Cruz La Laguna,2020,
San Marcos La Laguna,2020,
Santa Catarina Ixtahuacán,2020,
San Pablo La Laguna,2020,
Santa Clara La Laguna,2020,
Santa María Visitación,2020,
San Juan La Laguna,2020,
San Pedro La Laguna,2020,
Santiago Atitlán,2020,
San Lucas Tolimán,2020,
San Andrés Semetabaj,2021,
Sololá,2021,
Concepción,2021,
Panajachel,2021,
Santa Catarina Palopó,2021,
San Antonio Palopó,2021,
Nahualá,2021,
Santa Lucía Utatlán,2021,
San José Chacayá,2021,
Santa Cruz La Laguna,2021,
San Marcos La Laguna,2021,
Santa Catarina Ixtahuacán,2021,
San Pablo La Laguna,2021,
Santa Clara La Laguna,2021,
Santa María Visitación,2021,
San Juan La Laguna,2021,
San Pedro La Laguna,2021,
Santiago Atitlán,2021,
San Lucas Tolimán,2021,
San Andrés Semetabaj,2022,
Sololá,2022,
Concepción,2022,
Panajachel,2022,
Santa Catarina Palopó,2022,
San Antonio Palopó,2022,
Nahualá,2022,
Santa Lucía Utatlán,2022,
San José Chacayá,2022,
Santa Cruz La Laguna,2022,
San Marcos La Laguna,2022,
Santa Catarina Ixtahuacán,2022,
San Pablo La Laguna,2022,
Santa Clara La Laguna,2022,
Santa María Visitación,2022,
San Juan La Laguna,2022,
San Pedro La Laguna,2022,
Santiago Atitlán,2022,
San Lucas Tolimán,2022,
San Andrés Semetabaj,2023,
Sololá,2023,
Concepción,2023,
Panajachel,2023,
Santa Catarina Palopó,2023,
San Antonio Palopó,2023,
Nahualá,2023,
Santa Lucía Utatlán,2023,
San José Chacayá,2023,
Santa Cruz La Laguna,2023,
San Marcos La Laguna,2023,
Santa Catarina Ixtahuacán,2023,
San Pablo La Laguna,2023,
Santa Clara La Laguna,2023,
Santa María Visitación,2023,
San Juan La Laguna,2023,
San Pedro La Laguna,2023,
Santiago Atitlán,2023,
San Lucas Tolimán,2023,
San Andrés Semetabaj,2024,
Sololá,2024,
Concepción,2024,
Panajachel,2024,
Santa Catarina Palopó,2024,
San Antonio Palopó,2024,
Nahualá,2024,
Santa Lucía Utatlán,2024,
San José Chacayá,2024,
Santa Cruz La Laguna,2024,
San Marcos La Laguna,2024,
Santa Catarina Ixtahuacán,2024,
San Pablo La Laguna,2024,
Santa Clara La Laguna,2024,
Santa María Visitación,2024,
San Juan La Laguna,2024,
San Pedro La Laguna,2024,
Santiago Atitlán,2024,
San Lucas Tolimán,2024,
