nombre,year,npp_gC_m2_yr
San Andrés Semetabaj,2015,
Sololá,2015,
Concepción,2015,
Panajachel,2015,
Santa Catarina Palopó,2015,
San Antonio Palopó,2015,
Nahualá,2015,
Santa Lucía Utatlán,2015,
San José Chacayá,2015,
Santa Cruz La Laguna,2015,
San Marcos La Laguna,2015,
Santa Catarina Ixtahuacán,2015,
San Pablo La Laguna,2015,
Santa Clara La Laguna,2015,
Santa María Visitación,2015,
San Juan La Laguna,2015,
San Pedro La Laguna,2015,
Santiago Atitlán,2015,
San Lucas Tolimán,2015,
San Andrés Semetabaj,2016,
Sololá,2016,
Concepción,2016,
Panajachel,2016,
Santa Catarina Palopó,2016,
San Antonio Palopó,2016,
Nahualá,2016,
Santa Lucía Utatlán,2016,
San José Chacayá,2016,
Santa Cruz La Laguna,2016,
San Marcos La Laguna,2016,
Santa Catarina Ixtahuacán,2016,
San Pablo La Laguna,2016,
Santa Clara La Laguna,2016,
Santa María Visitación,2016,
San Juan La Laguna,2016,
San Pedro La Laguna,2016,
Santiago Atitlán,2016,
San Lucas Tolimán,2016,
San Andrés Semetabaj,2017,
Sololá,2017,
Concepción,2017,
Panajachel,2017,
Santa Catarina Palopó,2017,
San Antonio Palopó,2017,
Nahualá,2017,
Santa Lucía Utatlán,2017,
San José Chacayá,2017,
Santa Cruz La Laguna,2017,
San Marcos La Laguna,2017,
Santa Catarina Ixtahuacán,2017,
San Pablo La Laguna,2017,
Santa Clara La Laguna,2017,
Santa María Visitación,2017,
San Juan La Laguna,2017,
San Pedro La Laguna,2017,
Santiago Atitlán,2017,
San Lucas Tolimán,2017,
San Andrés Semetabaj,2018,
Sololá,2018,
Concepción,2018,
Panajachel,2018,
Santa Catarina Palopó,2018,
San Antonio Palopó,2018,
Nahualá,2018,
Santa Lucía Utatlán,2018,
San José Chacayá,2018,
Santa Cruz La Laguna,2018,
San Marcos La Laguna,2018,
Santa Catarina Ixtahuacán,2018,
San Pablo La Laguna,2018,
Santa Clara La Laguna,2018,
Santa María Visitación,2018,
San Juan La Laguna,2018,
San Pedro La Laguna,2018,
Santiago Atitlán,2018,
San Lucas Tolimán,2018,
San Andrés Semetabaj,2019,
Sololá,2019,
Concepción,2019,
Panajachel,2019,
Santa Catarina Palopó,2019,
San Antonio Palopó,2019,
Nahualá,2019,
Santa Lucía Utatlán,2019,
San José Chacayá,2019,
Santa Cruz La Laguna,2019,
San Marcos La Laguna,2019,
Santa Catarina Ixtahuacán,2019,
San Pablo La Laguna,2019,
Santa Clara La Laguna,2019,
Santa María Visitación,2019,
San Juan La Laguna,2019,
San Pedro La Laguna,2019,
Santiago Atitlán,2019,
San Lucas Tolimán,2019,
San Andrés Semetabaj,2020,
Sololá,2020,
Concepción,2020,
Panajachel,2020,
Santa Catarina Palopó,2020,
San Antonio Palopó,2020,
Nahualá,2020,
Santa Lucía Utatlán,2020,
San José Chacayá,2020,
Santa Cruz La Laguna,2020,
San Marcos La Laguna,2020,
Santa Catarina Ixtahuacán,2020,
San Pablo La Laguna,2020,
Santa Clara La Laguna,2020,
Santa María Visitación,2020,
San Juan La Laguna,2020,
San Pedro La Laguna,2020,
Santiago Atitlán,2020,
San Lucas Tolimán,2020,
San Andrés Semetabaj,2021,
Sololá,2021,
Concepción,2021,
Panajachel,2021,
Santa Catarina Palopó,2021,
San Antonio Palopó,2021,
Nahualá,2021,
Santa Lucía Utatlán,2021,
San José Chacayá,2021,
Santa Cruz La Laguna,2021,
San Marcos La Laguna,2021,
Santa Catarina Ixtahuacán,2021,
San Pablo La Laguna,2021,
Santa Clara La Laguna,2021,
Santa María Visitación,2021,
San Juan La Laguna,2021,
San Pedro La Laguna,2021,
Santiago Atitlán,2021,
San Lucas Tolimán,2021,
San Andrés Semetabaj,2022,
Sololá,2022,
Concepción,2022,
Panajachel,2022,
Santa Catarina Palopó,2022,
San Antonio Palopó,2022,
Nahualá,2022,
Santa Lucía Utatlán,2022,
San José Chacayá,2022,
Santa Cruz La Laguna,2022,
San Marcos La Laguna,2022,
Santa Catarina Ixtahuacán,2022,
San Pablo La Laguna,2022,
Santa Clara La Laguna,2022,
Santa María Visitación,2022,
San Juan La Laguna,2022,
San Pedro La Laguna,2022,
Santiago Atitlán,2022,
San Lucas Tolimán,2022,
San Andrés Semetabaj,2023,
Sololá,2023,
Concepción,2023,
Panajachel,2023,
Santa Catarina Palopó,2023,
San Antonio Palopó,2023,
Nahualá,2023,
Santa Lucía Utatlán,2023,
San José Chacayá,2023,
Santa Cruz La Laguna,2023,
San Marcos La Laguna,2023,
Santa Catarina Ixtahuacán,2023,
San Pablo La Laguna,2023,
Santa Clara La Laguna,2023,
Santa María Visitación,2023,
San Juan La Laguna,2023,
San Pedro La Laguna,2023,
Santiago Atitlán,2023,
San Lucas Tolimán,2023,
