nombre,area_ha,ndvi_doy00_mean,ndvi_doy01_mean,ndvi_doy02_mean,ndvi_doy03_mean,ndvi_doy04_mean,ndvi_doy05_mean,ndvi_doy06_mean,ndvi_doy07_mean,ndvi_doy08_mean,ndvi_doy09_mean,ndvi_doy10_mean,ndvi_doy11_mean,ndvi_doy12_mean,ndvi_doy13_mean,ndvi_doy14_mean,ndvi_doy15_mean,ndvi_doy16_mean,ndvi_doy17_mean,ndvi_doy18_mean,ndvi_doy19_mean,ndvi_doy20_mean,ndvi_doy21_mean,ndvi_doy22_mean,ndvi_doy23_mean
San Andrés Semetabaj,5315.316412077782,,,,,,,,,,,,,,,,,,,,,,,,
Sololá,15189.43351127935,,,,,,,,,,,,,,,,,,,,,,,,
Concepción,1502.6974026074706,,,,,,,,,,,,,,,,,,,,,,,,
Panajachel,775.0171233865212,,,,,,,,,,,,,,,,,,,,,,,,
Santa Catarina Palopó,474.7223113555237,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Palopó,2620.92948503588,,,,,,,,,,,,,,,,,,,,,,,,
Nahualá,18690.361948739926,,,,,,,,,,,,,,,,,,,,,,,,
Santa Lucía Utatlán,5124.95132129422,,,,,,,,,,,,,,,,,,,,,,,,
San José Chacayá,1584.6766911688003,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz La Laguna,1130.7264544964366,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos La Laguna,921.8045564314498,,,,,,,,,,,,,,,,,,,,,,,,
Santa Catarina Ixtahuacán,19046.50883338363,,,,,,,,,,,,,,,,,,,,,,,,
San Pablo La Laguna,615.7612457606944,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara La Laguna,1440.8754274672092,,,,,,,,,,,,,,,,,,,,,,,,
Santa María Visitación,2083.170019461331,,,,,,,,,,,,,,,,,,,,,,,,
San Juan La Laguna,3731.162422329316,,,,,,,,,,,,,,,,,,,,,,,,
San Pedro La Laguna,5084.320703624207,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Atitlán,11633.727954246642,,,,,,,,,,,,,,,,,,,,,,,,
San Lucas Tolimán,7394.3656981379645,,,,,,,,,,,,,,,,,,,,,,,,
